department,experience_level,count,mean,std,min,max
Engineering,Expert,158943,114958.21,25964.53,70000,160000
Engineering,Junior,158598,115117.64,26032.35,70000,160000
Engineering,Mid-level,159020,114889.94,25924.1,70000,160000
Engineering,Senior,158931,114892.87,25964.21,70000,159999
Finance,Expert,158619,97526.36,24508.65,55000,140000
Finance,Junior,158557,97447.83,24550.54,55000,140000
Finance,Mid-level,158873,97441.44,24566.81,55000,140000
Finance,Senior,158000,97635.36,24523.18,55000,140000
HR,Expert,157525,74978.27,20202.13,40000,110000
HR,Junior,158556,75002.35,20193.34,40001,110000
HR,Mid-level,159099,75062.36,20209.68,40000,110000
HR,Senior,158242,74993.37,20153.9,40001,110000
Marketing,Expert,158109,82539.87,21656.23,45000,120000
Marketing,Junior,157839,82544.42,21651.86,45000,120000
Marketing,Mid-level,158579,82503.77,21688.4,45000,120000
Marketing,Senior,159158,82478.12,21617.45,45000,120000
Sales,Expert,157500,90071.79,23127.81,50001,130000
Sales,Junior,159026,89930.92,23063.87,50000,130000
Sales,Mid-level,158273,90036.96,23029.43,50000,130000
Sales,Senior,158553,90042.94,23088.84,50001,130000
